ORDR,20080218,LW,93012.14,1,A1,B,77.27,100
ORDR,20080218,LW,93024.15,3,A2,S,77.31,2900
ORDR,20080218,LW,93036.15,5,A3,S,77.35,400
ORDR,20080218,LW,93048.15,7,A4,S,77.35,2400
ORDR,20080218,LW,93112.16,11,A5,S,77.40,2100
ORDR,20080218,LW,93124.16,13,A6,B,77.35,400
ORDR,20080218,LW,93148.17,17,A7,S,77.39,3900
ORDR,20080218,LW,93224.18,23,A8,B,77.35,2400
ORDR,20080218,LW,93300.18,27,A9,B,77.32,4700
ORDR,20080218,LW,93312.19,29,A10,S,77.37,3300
ORDR,20080218,LW,93324.19,31,A11,B,77.32,3100
ORDR,20080218,LW,93348.20,34,A12,S,77.38,200
ORDR,20080218,LW,93400.20,36,A13,S,77.46,3400
ORDR,20080218,LW,93412.21,38,A14,S,77.51,1600
ORDR,20080218,LW,93424.21,40,A15,B,77.46,200
ORDR,20080218,LW,93436.21,42,A16,S,77.46,3400
ORDR,20080218,LW,93448.21,44,A17,S,77.49,4800
ORDR,20080218,LW,93500.22,46,A18,S,77.55,1900
ORDR,20080218,LW,93512.22,48,A19,S,77.62,1800
ORDR,20080218,LW,93612.23,55,A20,S,77.65,3400
ORDR,20080218,LW,93624.24,57,A21,S,77.66,4000
ORDR,20080218,LW,93636.24,59,A22,B,77.66,2700
ORDR,20080218,LW,93648.25,61,A23,S,77.72,1500
ORDR,20080218,LW,93700.25,63,A24,S,77.79,2400
ORDR,20080218,LW,93712.25,65,A25,S,77.84,2900
ORDR,20080218,LW,93724.26,67,A26,S,77.86,400
ORDR,20080218,LW,93748.27,71,A27,S,77.88,200
ORDR,20080218,LW,93800.27,73,A28,S,77.90,2400
ORDR,20080218,LW,93812.27,75,A29,B,77.86,3000
ORDR,20080218,LW,93824.27,77,A30,B,77.82,2700
ORDR,20080218,LW,93836.28,79,A31,S,77.84,2100
ORDR,20080218,LW,93848.28,81,A32,S,77.89,400
ORDR,20080218,LW,93900.28,83,A33,S,77.89,3200
ORDR,20080218,LW,93912.28,85,A34,B,77.88,500
ORDR,20080218,LW,93924.29,87,A35,S,77.89,2600
ORDR,20080218,LW,93936.29,89,A36,S,77.89,1300
ORDR,20080218,LW,93948.29,91,A37,S,77.94,3500
ORDR,20080218,LW,94000.30,93,A38,S,77.99,4800
ORDR,20080218,LW,94012.31,95,A39,S,78.06,2200
ORDR,20080218,LW,94036.31,98,A40,B,77.99,2100
ORDR,20080218,LW,94048.31,100,A41,S,78.06,3000
ORDR,20080218,LW,94100.32,102,A42,B,77.99,1100
ORDR,20080218,LW,94112.32,104,A43,B,77.97,3200
ORDR,20080218,LW,94148.33,110,A44,B,77.93,800
ORDR,20080218,LW,94200.34,112,A45,B,77.90,1000
ORDR,20080218,LW,94212.34,114,A46,B,77.84,3600
ORDR,20080218,LW,94236.35,117,A47,B,77.81,1600
ORDR,20080218,LW,94248.35,119,A48,S,77.85,3300
ORDR,20080218,LW,94300.35,121,A49,S,77.88,3700
ORDR,20080218,LW,94312.35,123,A50,B,77.82,4600
ORDR,20080218,LW,94336.37,127,A51,S,77.89,900
ORDR,20080218,LW,94348.37,129,A52,B,77.82,2500
ORDR,20080218,LW,94400.38,131,A53,B,77.78,100
ORDR,20080218,LW,94412.38,133,A54,B,77.71,3100
ORDR,20080218,LW,94424.38,135,A55,B,77.70,5000
ORDR,20080218,LW,94436.39,137,A56,B,77.63,4100
ORDR,20080218,LW,94500.39,140,A57,B,77.57,5000
ORDR,20080218,LW,94548.40,146,A58,S,77.57,3100
ORDR,20080218,LW,94600.41,148,A59,B,77.51,1000
ORDR,20080218,LW,94612.41,150,A60,S,77.56,4700
ORDR,20080218,LW,94636.41,154,A61,B,77.54,900
ORDR,20080218,LW,94648.42,156,A62,S,77.54,2100
ORDR,20080218,LW,94712.43,160,A63,S,77.60,500
ORDR,20080218,LW,94724.43,162,A64,B,77.54,2600
ORDR,20080218,LW,94748.44,166,A65,B,77.53,3500
ORDR,20080218,LW,94800.44,168,A66,B,77.51,4000
ORDR,20080218,LW,94824.45,172,A67,S,77.57,4400
ORDR,20080218,LW,94836.44,174,A68,S,77.63,2000
ORDR,20080218,LW,94848.45,176,A69,S,77.66,3000
ORDR,20080218,LW,94900.45,178,A70,B,77.59,4800
ORDR,20080218,LW,94912.45,180,A71,S,77.64,400
ORDR,20080218,LW,94924.45,182,A72,S,77.66,4500
ORDR,20080218,LW,95000.46,187,A73,B,77.63,1700
ORDR,20080218,LW,95012.47,189,A74,S,77.63,1300
ORDR,20080218,LW,95024.47,191,A75,B,77.57,200
ORDR,20080218,LW,95048.48,194,A76,B,77.52,4100
ORDR,20080218,LW,95100.48,196,A77,S,77.58,200
ORDR,20080218,LW,95112.48,198,A78,B,77.54,3900
ORDR,20080218,LW,95124.49,200,A79,S,77.60,3600
